Problem,NrFeat,Model,Training.Rho,NTrain,Validation.Rho,NTest,Dimension,Track,Scaled,Prob,Validation.Acc,Training.Acc
f.rnd,3,433,22.31193,268,23.34778,177,10x10,OPT,FALSE,equal,68.41,69.27
f.rnd,3,434,24.45265,268,23.95524,177,10x10,OPT,FALSE,equal,66.5,66.74
f.rnd,3,435,25.47077,268,25.20613,177,10x10,OPT,FALSE,equal,61.96,62.93
f.rnd,3,436,26.32435,268,25.44913,177,10x10,OPT,FALSE,equal,61.65,62.73
f.rnd,3,437,25.27873,268,25.33046,177,10x10,OPT,FALSE,equal,62.6,63.63
f.rnd,3,438,24.45265,268,23.95524,177,10x10,OPT,FALSE,equal,66.5,66.74
f.rnd,3,439,28.33492,268,27.91952,177,10x10,OPT,FALSE,equal,61.57,62.24
f.rnd,3,44,23.45116,268,23.84626,177,10x10,OPT,FALSE,equal,71.17,71.58
f.rnd,3,440,22.30266,268,23.32184,177,10x10,OPT,FALSE,equal,68.42,69.27
f.rnd,3,441,20.80807,268,22.84921,177,10x10,OPT,FALSE,equal,67.82,68.72
f.rnd,3,442,25.72648,268,25.51459,177,10x10,OPT,FALSE,equal,61.47,62.23
f.rnd,3,443,26.14241,268,25.64702,177,10x10,OPT,FALSE,equal,67.46,67.35
f.rnd,3,444,38.54057,268,38.71134,177,10x10,OPT,FALSE,equal,56.93,56.97
f.rnd,3,445,26.18067,268,26.42499,177,10x10,OPT,FALSE,equal,66.73,66.76
f.rnd,3,446,30.43741,268,30.40991,177,10x10,OPT,FALSE,equal,64.04,64.47
f.rnd,3,447,24.52733,268,24.42872,177,10x10,OPT,FALSE,equal,60.71,61.19
f.rnd,3,448,26.68895,268,26.0401,177,10x10,OPT,FALSE,equal,56.44,57.11
f.rnd,3,449,25.09048,268,25.14911,177,10x10,OPT,FALSE,equal,61.52,61.93
f.rnd,3,45,24.45265,268,23.95524,177,10x10,OPT,FALSE,equal,62.83,63.66
f.rnd,3,450,30.43741,268,30.40991,177,10x10,OPT,FALSE,equal,64.04,64.47
f.rnd,3,451,33.61412,268,33.64701,177,10x10,OPT,FALSE,equal,60.94,61.58
f.rnd,3,452,26.11831,268,26.64782,177,10x10,OPT,FALSE,equal,66.7,66.75
f.rnd,3,453,28.50415,268,28.26961,177,10x10,OPT,FALSE,equal,65.98,66.2
f.rnd,3,454,27.99193,268,27.18029,177,10x10,OPT,FALSE,equal,58.4,58.77
f.rnd,3,455,25.72648,268,25.51459,177,10x10,OPT,FALSE,equal,61.47,62.23
f.rnd,3,456,31.96349,268,31.46609,177,10x10,OPT,FALSE,equal,67.2,67.5
f.rnd,3,457,31.98265,268,31.46134,177,10x10,OPT,FALSE,equal,67.18,67.51
f.rnd,3,458,31.98265,268,31.48559,177,10x10,OPT,FALSE,equal,67.2,67.51
f.rnd,3,459,20.79863,268,20.23385,177,10x10,OPT,FALSE,equal,70,70.34
f.rnd,3,46,20.60719,268,20.52349,177,10x10,OPT,FALSE,equal,69.76,70.02
f.rnd,3,460,25.18974,268,24.53556,177,10x10,OPT,FALSE,equal,63.81,65.2
f.rnd,3,461,17.73278,268,17.84502,177,10x10,OPT,FALSE,equal,70.22,70.71
f.rnd,3,462,22.81049,268,22.57034,177,10x10,OPT,FALSE,equal,68.88,68.99
f.rnd,3,463,27.53121,268,27.16224,177,10x10,OPT,FALSE,equal,64.59,65.77
f.rnd,3,464,28.32944,268,28.44596,177,10x10,OPT,FALSE,equal,70.06,70.26
f.rnd,3,465,25.23674,268,23.97709,177,10x10,OPT,FALSE,equal,62.76,63.83
f.rnd,3,466,23.61838,268,23.64297,177,10x10,OPT,FALSE,equal,68.55,68.8
f.rnd,3,467,28.46291,268,28.19014,177,10x10,OPT,FALSE,equal,62.66,64
f.rnd,3,468,23.20508,268,22.70485,177,10x10,OPT,FALSE,equal,68.68,69.3
f.rnd,3,469,25.23674,268,23.97709,177,10x10,OPT,FALSE,equal,62.89,64.27
f.rnd,3,47,25.23674,268,23.97709,177,10x10,OPT,FALSE,equal,63.74,65.2
f.rnd,3,470,25.23674,268,23.97709,177,10x10,OPT,FALSE,equal,62.66,63.66
f.rnd,3,471,22.77297,268,22.68719,177,10x10,OPT,FALSE,equal,69.61,69.81
f.rnd,3,472,27.47919,268,27.15046,177,10x10,OPT,FALSE,equal,64.59,65.77
f.rnd,3,473,26.28683,268,25.35194,177,10x10,OPT,FALSE,equal,69.53,69.97
f.rnd,3,474,25.26126,268,23.91698,177,10x10,OPT,FALSE,equal,63.25,64.44
f.rnd,3,475,27.47919,268,27.15046,177,10x10,OPT,FALSE,equal,64.59,65.77
f.rnd,3,476,25.24742,268,23.96712,177,10x10,OPT,FALSE,equal,63.35,64.46
f.rnd,3,477,20.79863,268,20.23385,177,10x10,OPT,FALSE,equal,70,70.34
