Problem,NrFeat,Model,Training.Rho,NTrain,Validation.Rho,NTest,Dimension,Track,Scaled,Prob,Validation.Acc,Training.Acc
f.rnd,3,279,25.08489,268,24.50816,177,10x10,OPT,FALSE,wcs,62.12,63.27
f.rnd,3,28,39.98537,268,39.40696,177,10x10,OPT,FALSE,wcs,63.07,63.6
f.rnd,3,280,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,61.71,62.67
f.rnd,3,281,23.60029,268,22.84114,177,10x10,OPT,FALSE,wcs,61.37,62.3
f.rnd,3,282,24.54595,268,24.03091,177,10x10,OPT,FALSE,wcs,62.1,62.95
f.rnd,3,283,25.0777,268,24.58827,177,10x10,OPT,FALSE,wcs,62.13,63.26
f.rnd,3,284,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,62.1,63.22
f.rnd,3,285,25.15449,268,25.90477,177,10x10,OPT,FALSE,wcs,68.76,69.17
f.rnd,3,286,19.91508,268,20.64309,177,10x10,OPT,FALSE,wcs,67.91,68.49
f.rnd,3,287,35.94425,268,37.31422,177,10x10,OPT,FALSE,wcs,67.21,67.31
f.rnd,3,288,35.99245,268,37.33331,177,10x10,OPT,FALSE,wcs,67.21,67.3
f.rnd,3,289,36.02625,268,37.13582,177,10x10,OPT,FALSE,wcs,67.23,67.31
f.rnd,3,29,30.76689,268,30.68489,177,10x10,OPT,FALSE,wcs,69.5,69.97
f.rnd,3,290,20.67663,268,21.09511,177,10x10,OPT,FALSE,wcs,69.58,69.87
f.rnd,3,291,51.74175,268,49.82194,177,10x10,OPT,FALSE,wcs,64.86,65.91
f.rnd,3,292,48.90085,268,49.57934,177,10x10,OPT,FALSE,wcs,69.97,70.58
f.rnd,3,293,39.82816,268,38.63432,177,10x10,OPT,FALSE,wcs,68.99,69.14
f.rnd,3,294,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,62.03,62.36
f.rnd,3,295,30.34118,268,30.09494,177,10x10,OPT,FALSE,wcs,69.87,70.2
f.rnd,3,296,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,62.48,63.18
f.rnd,3,297,45.73682,268,43.26796,177,10x10,OPT,FALSE,wcs,66.99,67.14
f.rnd,3,298,37.92123,268,37.19436,177,10x10,OPT,FALSE,wcs,56.37,56.47
f.rnd,3,299,55.01629,268,54.40295,177,10x10,OPT,FALSE,wcs,66.81,66.99
f.rnd,3,3,41.81127,268,40.51988,177,10x10,OPT,FALSE,wcs,70.27,70.62
f.rnd,3,30,25.28531,268,24.6413,177,10x10,OPT,FALSE,wcs,64.46,65.53
f.rnd,3,300,23.60029,268,22.84114,177,10x10,OPT,FALSE,wcs,62.33,63.55
f.rnd,3,301,23.60029,268,22.84114,177,10x10,OPT,FALSE,wcs,60.66,61.3
f.rnd,3,302,42.68414,268,41.52202,177,10x10,OPT,FALSE,wcs,69.63,69.85
f.rnd,3,303,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,62.13,62.44
